17-Mar-16	39.34	38.83	39.64	38.77	-	1.29%
16-Mar-16	38.84	36.91	38.94	36.62	-	5.23%
15-Mar-16	36.91	37.37	37.4	35.96	-	-0.73%
14-Mar-16	37.18	38.17	38.77	36.68	489.94K	-3.43%
11-Mar-16	38.5	37.99	39.02	37.92	564.79K	1.74%
10-Mar-16	37.84	38.17	38.48	37.21	701.44K	-1.18%
9-Mar-16	38.29	36.36	38.51	36.24	740.63K	4.90%
8-Mar-16	36.5	37.94	38.39	36.12	706.93K	-3.69%
7-Mar-16	37.9	36.2	38.11	36.09	709.87K	5.51%
4-Mar-16	35.92	34.66	36.34	34.4	578.29K	3.91%
3-Mar-16	34.57	34.73	35.32	34.19	512.96K	-0.26%
2-Mar-16	34.66	33.89	35.17	33.55	597.83K	0.76%
1-Mar-16	34.4	33.9	34.76	33.37	566.23K	1.93%
29-Feb-16	33.75	32.72	33.98	32.32	512.47K	2.96%
26-Feb-16	32.78	33.04	34.69	32.64	646.29K	-0.88%
25-Feb-16	33.07	32.19	33.49	31.07	611.87K	2.86%
24-Feb-16	32.15	31.28	32.4	30.56	652.25K	0.88%
23-Feb-16	31.87	33.34	33.53	31.22	539.38K	1.24%
22-Feb-16	31.48	29.72	32.05	29.48	26.32K	6.21%
19-Feb-16	29.64	30.6	30.73	29.05	103.20K	-3.67%
18-Feb-16	30.77	31.35	31.98	30.27	225.50K	0.36%
17-Feb-16	30.66	29.14	31.49	28.73	578.64K	5.58%
16-Feb-16	29.04	29.08	31.53	28.7	651.96K	-5.11%
15-Feb-16	30.6	29.08	30.69	28.97	-	5.26%
14-Feb-16	29.08	29.06	29.18	28.97	-	-1.24%
12-Feb-16	29.44	27.3	29.66	26.95	675.16K	12.32%
11-Feb-16	26.21	27.34	27.48	26.05	795.97K	-4.52%
10-Feb-16	27.45	28.36	29.22	27.24	781.28K	-1.75%
9-Feb-16	27.94	30.17	30.61	27.74	738.22K	-5.89%
8-Feb-16	29.69	30.97	31.38	29.57	603.65K	-3.88%
5-Feb-16	30.89	31.64	32.45	30.63	616.53K	-2.62%
4-Feb-16	31.72	32.71	33.6	31.53	696.72K	-1.73%
3-Feb-16	32.28	29.75	32.75	29.4	811.70K	8.03%
2-Feb-16	29.88	31.37	31.53	29.57	602.56K	-5.50%
1-Feb-16	31.62	33.83	34.18	31.29	595.61K	-5.95%
29-Jan-16	33.62	33.7	34.4	32.65	618.11K	1.20%
28-Jan-16	33.22	32.19	34.82	31.74	833.38K	2.85%
27-Jan-16	32.3	30.55	32.84	30.14	738.55K	2.70%
26-Jan-16	31.45	29.81	32.41	29.25	642.43K	3.66%
25-Jan-16	30.34	32.05	32.74	29.68	606.89K	-5.75%
22-Jan-16	32.19	29.84	32.35	29.53	636.57K	9.01%
21-Jan-16	29.53	28.35	30.25	27.87	694.04K	11.22%
20-Jan-16	26.55	28.33	28.58	26.19	32.11K	-6.71%
19-Jan-16	28.46	29.2	30.21	28.21	188.03K	-5.21%
18-Jan-16	30.02	29.76	30.88	29.67	-	0.94%
17-Jan-16	29.75	30.68	30.68	29.36	-	1.10%
15-Jan-16	29.42	31.18	31.18	29.13	329.09K	-5.71%
14-Jan-16	31.2	30.6	31.77	30.28	537.91K	2.36%
13-Jan-16	30.48	30.54	31.71	30.1	637.90K	0.13%
12-Jan-16	30.44	31.11	32.21	29.93	627.22K	-3.09%
11-Jan-16	31.41	32.94	33.2	30.88	648.64K	-5.28%
8-Jan-16	33.16	33.3	34.34	32.64	596.50K	-0.33%
7-Jan-16	33.27	34.09	34.26	32.1	617.41K	-2.06%
6-Jan-16	33.97	36.18	36.39	33.77	563.81K	-5.56%
5-Jan-16	35.97	36.9	37.1	35.74	410.13K	-2.15%
4-Jan-16	36.76	37.6	38.39	36.33	431.99K	-0.76%
31-Dec-15	37.04	36.81	37.79	36.22	283.62K	1.20%
30-Dec-15	36.6	37.36	37.4	36.4	267.91K	-3.35%
29-Dec-15	37.87	36.7	37.94	36.66	241.95K	2.88%
28-Dec-15	36.81	38	38.09	36.6	220.64K	-3.39%
24-Dec-15	38.1	37.86	38.28	37.38	205.87K	1.60%
23-Dec-15	37.5	36.47	37.95	36.28	374.66K	3.76%
22-Dec-15	36.14	35.8	36.54	35.66	302.26K	4.03%
21-Dec-15	34.74	34.58	34.86	33.98	27.29K	0.03%
18-Dec-15	34.73	34.87	35.57	34.29	116.04K	-0.63%
17-Dec-15	34.95	35.8	35.84	34.63	196.23K	-1.60%
16-Dec-15	35.52	36.79	37.35	35.29	402.97K	-4.90%
15-Dec-15	37.35	36.32	37.88	36.03	474.16K	2.86%
14-Dec-15	36.31	35.4	36.7	34.53	550.48K	1.94%
11-Dec-15	35.62	36.63	36.84	35.16	505.41K	-3.10%
10-Dec-15	36.76	37.27	37.54	36.38	513.94K	-1.08%
9-Dec-15	37.16	37.86	38.99	36.87	646.17K	-0.93%
8-Dec-15	37.51	37.68	38.58	36.64	767.18K	-0.37%
7-Dec-15	37.65	40.1	40.15	37.5	635.41K	-5.80%
4-Dec-15	39.97	41.31	42	39.6	510.76K	-2.70%
3-Dec-15	41.08	40.15	41.78	40.07	496.88K	2.85%
2-Dec-15	39.94	41.69	41.97	39.84	545.29K	-4.56%
1-Dec-15	41.85	41.73	42.23	41.17	415.54K	0.48%
30-Nov-15	41.65	41.77	42.61	41.5	369.51K	-0.14%
27-Nov-15	41.71	43.25	43.3	41.67	316.48K	-2.07%
26-Nov-15	42.59	43.08	43.29	42.3	-	-1.05%
25-Nov-15	43.04	42.69	43.25	41.72	383.16K	0.40%
24-Nov-15	42.87	42.04	43.46	41.86	430.30K	2.68%
23-Nov-15	41.75	41.49	42.75	40.41	516.19K	3.37%
20-Nov-15	40.39	40.54	40.99	38.99	33.71K	-0.37%
19-Nov-15	40.54	40.72	41.05	39.89	131.36K	-0.52%
18-Nov-15	40.75	41.11	41.55	39.91	251.52K	0.20%
17-Nov-15	40.67	41.96	42.03	40.58	363.71K	-2.56%
16-Nov-15	41.74	40.92	42.25	40.06	535.18K	2.45%
13-Nov-15	40.74	41.61	42.21	40.22	480.89K	-2.42%
12-Nov-15	41.75	43.05	43.33	41.54	545.35K	-2.75%
11-Nov-15	42.93	43.63	44.11	42.62	502.37K	-2.90%
10-Nov-15	44.21	44.1	44.76	43.57	445.97K	0.78%
9-Nov-15	43.87	44.52	45.12	43.64	487.99K	-0.95%
6-Nov-15	44.29	45.41	45.64	44.11	448.13K	-2.01%
5-Nov-15	45.2	46.57	46.65	45.12	437.65K	-2.42%
4-Nov-15	46.32	47.74	48.28	46.17	459.31K	-3.30%
3-Nov-15	47.9	46.11	48.36	45.96	434.57K	3.81%
2-Nov-15	46.14	46.43	46.73	45.56	305.52K	-0.97%
30-Oct-15	46.59	45.74	47.03	45.48	363.31K	1.15%
29-Oct-15	46.06	46.06	46.79	45.16	436.51K	0.26%
28-Oct-15	45.94	43.44	46.22	43.06	521.52K	6.34%
27-Oct-15	43.2	43.78	43.91	42.58	370.83K	-1.77%
26-Oct-15	43.98	44.74	44.94	43.64	302.08K	-1.39%
23-Oct-15	44.6	45.44	45.75	44.2	406.58K	-1.72%
22-Oct-15	45.38	45.27	46.1	44.9	322.74K	0.40%
21-Oct-15	45.2	45.88	46.08	44.86	384.29K	-0.77%
20-Oct-15	45.55	46.25	46.52	45.23	38.95K	-0.74%
19-Oct-15	45.89	47.27	47.49	45.85	125.84K	-2.90%
16-Oct-15	47.26	46.87	47.5	46.16	198.13K	1.90%
15-Oct-15	46.38	46.28	47.02	45.23	370.94K	-0.56%
14-Oct-15	46.64	46.69	46.96	45.94	348.24K	-0.04%
13-Oct-15	46.66	47.46	48.43	46.44	465.39K	-0.93%
12-Oct-15	47.1	49.51	50.13	47.04	408.66K	-5.10%
9-Oct-15	49.63	49.69	50.92	49.17	508.68K	0.40%
8-Oct-15	49.43	48.11	50.07	47.76	509.76K	3.39%
7-Oct-15	47.81	49	49.71	47.7	547.49K	-1.48%
6-Oct-15	48.53	46.2	49.08	45.73	453.10K	4.91%
5-Oct-15	46.26	45.65	46.94	45.21	323.06K	1.58%
2-Oct-15	45.54	45.07	45.81	43.97	420.74K	1.79%
1-Oct-15	44.74	45.38	47.1	44.63	478.98K	-0.78%
30-Sep-15	45.09	44.92	45.85	44.68	355.85K	-0.31%
29-Sep-15	45.23	44.5	45.7	44.3	265.18K	1.80%
28-Sep-15	44.43	45.38	45.5	44.3	273.91K	-2.78%
25-Sep-15	45.7	45.05	46.38	44.86	338.62K	1.76%
24-Sep-15	44.91	44.62	45.18	43.71	371.98K	0.97%
23-Sep-15	44.48	46.54	47.15	44.41	411.96K	-2.95%
22-Sep-15	45.83	46.45	46.48	45.14	29.99K	-1.82%
21-Sep-15	46.68	44.97	46.74	44.69	104.53K	4.48%
18-Sep-15	44.68	46.89	47.03	44.24	211.30K	-4.73%
17-Sep-15	46.9	47.13	47.71	46.33	366.39K	-0.53%
16-Sep-15	47.15	45.16	47.35	44.82	421.98K	5.74%
15-Sep-15	44.59	44.11	45.25	43.92	335.95K	1.34%
14-Sep-15	44	44.78	44.97	43.59	326.27K	-1.41%
11-Sep-15	44.63	45.71	45.88	44.16	395.84K	-2.81%
10-Sep-15	45.92	44.16	46.04	43.36	498.99K	4.01%
9-Sep-15	44.15	45.79	46.26	44.05	422.74K	-3.90%
8-Sep-15	45.94	45.82	46.41	44.14	508.82K	2.77%
7-Sep-15	44.7	45.72	45.92	44.15	-	-2.23%
6-Sep-15	45.72	45.72	45.87	45.61	-	-0.72%
4-Sep-15	46.05	46.68	47.23	45.61	385.63K	-1.50%
3-Sep-15	46.75	46.11	48.42	45.65	539.45K	1.08%
2-Sep-15	46.25	44.26	46.77	43.21	689.30K	1.85%
1-Sep-15	45.41	48.1	48.87	44.15	713.42K	-7.70%
31-Aug-15	49.2	45	49.33	43.6	757.50K	8.80%
28-Aug-15	45.22	42.68	45.9	41.78	666.33K	6.25%
27-Aug-15	42.56	38.96	42.86	38.95	533.68K	10.26%
26-Aug-15	38.6	39.69	39.86	38.52	368.72K	-1.81%
25-Aug-15	39.31	38.18	39.89	38.16	375.65K	2.80%
24-Aug-15	38.24	40.3	40.47	37.75	468.37K	-5.46%
